id,longitude,latitude,time,precipitation
0,85.67682022289935,26.837169113070704,"{'type': 'Date', 'value': 1546300800000}",10.906038284301758
1,85.67682022289935,26.837169113070704,"{'type': 'Date', 'value': 1548979200000}",41.74481117725372
2,85.67682022289935,26.837169113070704,"{'type': 'Date', 'value': 1551398400000}",25.003583431243896
3,85.67682022289935,26.837169113070704,"{'type': 'Date', 'value': 1554076800000}",63.231480836868286
4,85.67682022289935,26.837169113070704,"{'type': 'Date', 'value': 1556668800000}",64.45658349990845
5,85.67682022289935,26.837169113070704,"{'type': 'Date', 'value': 1559347200000}",155.10499572753906
6,85.67682022289935,26.837169113070704,"{'type': 'Date', 'value': 1561939200000}",485.06755113601685
7,85.67682022289935,26.837169113070704,"{'type': 'Date', 'value': 1564617600000}",196.4705104827881
8,85.67682022289935,26.837169113070704,"{'type': 'Date', 'value': 1567296000000}",378.79275131225586
9,85.67682022289935,26.837169113070704,"{'type': 'Date', 'value': 1569888000000}",22.07348346710205
10,85.67682022289935,26.837169113070704,"{'type': 'Date', 'value': 1572566400000}",4.303730636835098
11,85.67682022289935,26.837169113070704,"{'type': 'Date', 'value': 1575158400000}",11.48850691318512
